Fecha;dds;Precipitacion (mm);Riego;Etc_mm_d-1;Eto_Calc_mm_d-1;SWC_1_Calib_2(%);SWC_2_Calib_2(%);Dias de lluvia
3/02/2021;12;0;0;1.728812845;3.785405265;22.96338198;35.80787658;0
4/02/2021;13;0;0;1.316460775;2.506772743;23.0096877;35.62094995;0
5/02/2021;14;1;0;1.504795872;2.33393387;23.19039543;35.50054057;1
6/02/2021;15;2;0;1.5444689;3.265649405;23.21509016;35.49911432;1
7/02/2021;16;0;0;1.698112562;2.224406373;23.11838572;35.51519495;0
8/02/2021;17;0;25.5;1.579470581;2.649746204;23.09639344;35.46883859;0
9/02/2021;18;17;0;2.116689987;2.515363245;27.95694479;35.23802094;1
10/02/2021;19;5;0;3.035103828;3.749585171;37.22979033;35.91857269;1
11/02/2021;20;0;0;3.367390412;4.095879965;34.64957996;37.66405348;0
12/02/2021;21;4;0;1.656290806;1.763855536;31.80820215;38.21591249;1
13/02/2021;22;0;0;2.606655452;2.661142188;31.93967503;38.27870707;0
14/02/2021;23;0;0;2.694392901;3.70136195;30.98135912;38.36068012;0
15/02/2021;24;1;0;1.805360875;1.710237986;29.7322702;38.32455997;1
16/02/2021;25;3;0;2.737464785;3.865922969;29.40652483;38.18055031;1
17/02/2021;26;0;0;2.84958387;3.876706885;29.00278098;38.05611687;0
18/02/2021;27;1;0;2.306886678;3.451002412;28.19787065;37.94810342;1
19/02/2021;28;8;0;1.98487621;2.314458269;27.95460788;37.74161963;1
20/02/2021;29;9;25.5;2.162464477;3.423081578;40.47998127;41.68877393;1
21/02/2021;30;4;0;1.943589108;2.475305392;39.70517591;43.27220533;1
22/02/2021;31;0;0;1.226859298;1.227662605;38.29252071;43.28653899;0
23/02/2021;32;0;0;2.163560812;2.404708096;37.14903948;43.31874625;0
24/02/2021;33;0;0;2.445496368;3.228460824;35.85205451;43.32622716;0
25/02/2021;34;9;0;1.425420563;0.73551258;39.17325153;46.13099607;1
26/02/2021;35;3;0;2.583684738;3.017686793;40.86736313;44.75555138;1
27/02/2021;36;7;0;1.87027045;1.90214325;40.43260007;43.65246929;1
28/02/2021;37;0;0;2.531639062;3.150779204;40.10002062;43.38376056;0
1/03/2021;38;4;0;2.824393456;3.691123381;38.71663484;43.19765288;1
2/03/2021;39;1;0;1.692465975;2.053407756;39.21494925;43.19959867;1
3/03/2021;40;0;0;2.067953397;2.401415356;38.0699557;43.23715344;0
4/03/2021;41;2;0;1.292420008;1.192058933;37.86949354;43.26792657;1
5/03/2021;42;2;0;1.512488129;1.504618129;38.17189258;43.27316929;1
6/03/2021;43;0;0;1.957069208;2.384515246;37.47495335;43.29532078;0
7/03/2021;44;0;0;1.484744196;1.662354654;36.46564758;43.32092896;0
8/03/2021;45;0;0;2.23993803;2.99030496;35.63172543;43.32331198;0
9/03/2021;46;0;0;2.252573166;3.695308643;34.32072792;43.2733058;0
10/03/2021;47;0;0;1.524537976;1.719471391;33.15812539;43.15602745;0
11/03/2021;48;7;0;1.639538739;2.160160672;33.17241784;43.00177711;1
12/03/2021;49;15;0;2.043086831;2.866031375;39.0469712;43.17056226;1
13/03/2021;50;2;0;1.836126913;2.600994931;40.2218136;43.22891966;1
14/03/2021;51;1;0;1.610833744;1.864997631;39.06693655;43.2659188;1
15/03/2021;52;0;0;1.187906013;0.708717171;39.38721709;43.27776633;0
